ID_REF,GSM701542,GSM701543,GSM701544,GSM701545,no mutation,mutation,log 2 fold change,fold change
1552582_at,43.846146,22.961597,11.28634,13.228695,33.4038715,12.2575175,-1.446348499,0.3669490077
1552583_s_at,195.34396,53.595024,19.699818,16.947037,124.469492,18.3234275,-2.764030877,0.147212198
1552584_at,12.68838,26.885082,21.820904,21.901766,19.786731,21.861335,0.1438482224,1.104848244
1552585_s_at,6.704428,12.48177,5.7985463,10.186451,9.593099,7.99249865,-0.2633503502,0.8331508567
1552586_at,37.936832,28.38759,21.5303,13.317516,33.162211,17.423908,-0.9284719562,0.5254145449
1552587_at,7.8930163,0.86764586,8.726402,0.7903292,4.38033108,4.7583656,0.1194262051,1.086302728
1552588_a_at,0.7667014,0.8503318,1.3286451,11.74595,0.8085166,6.53729755,3.015345064,8.085545244
1552590_a_at,2.6587584,9.778438,0.5231685,6.6430755,6.2185982,3.583122,-0.7953722378,0.576194487
1552592_at,1.5739526,7.618573,1.3994169,16.25505,4.5962628,8.82723345,0.9415000634,1.920524094
1552594_at,44.65626,5.4153295,5.8386555,7.4273376,25.03579475,6.63299655,-1.916259573,0.2649405228
1552596_at,7.793296,8.321886,3.987035,40.23029,8.057591,22.1086625,1.456191268,2.743830321
1552598_at,20.760696,20.948511,19.634937,9.742099,20.8546035,14.688518,-0.5056770408,0.7043297658
1552599_at,6.0850525,17.476057,15.251111,6.4499326,11.78055475,10.8505218,-0.1186430544,0.9210535523
1552602_at,33.72919,34.693016,41.243916,27.457876,34.211103,34.350896,0.005883111644,1.004086188
1552604_at,2.9942405,6.149339,5.256345,8.682444,4.57178975,6.9693945,0.6082742628,1.524434605
1552605_s_at,0.74379057,16.040003,5.114867,1.7447511,8.391896785,3.42980905,-1.290868675,0.4087048659
1552607_at,17.145988,0.88553673,5.3863997,11.346443,9.015762365,8.36642135,-0.107838833,0.9279771373
1552608_at,1.8022536,3.442577,2.2060394,2.8893888,2.6224153,2.5477141,-0.04169278674,0.9715143517
1552609_s_at,18.238712,19.294666,12.271498,22.62833,18.766689,17.449914,-0.1049542122,0.929834453
1552610_a_at,267.3509,165.43771,210.56078,281.05942,216.394305,245.8101,0.183881664,1.135936087
1552611_a_at,323.80182,254.38159,244.57175,188.81383,289.091705,216.69279,-0.4158760621,0.7495641911
1552612_at,66.03709,38.882313,81.21555,52.54431,52.4597015,66.87993,0.3503637388,1.274882016
1552613_s_at,81.619606,88.23072,115.7098,56.12632,84.925163,85.91806,0.01676933601,1.011691435
1552615_at,167.36458,112.67509,71.14801,111.54465,140.019835,91.34633,-0.6162125394,0.6523813573
1552616_a_at,4.4736905,4.9076343,1.5071234,4.6497703,4.6906624,3.07844685,-0.6075890095,0.6562925633
1552617_a_at,757.1213,738.7381,761.0291,510.72766,747.9297,635.87838,-0.2341518158,0.8501846898
1552618_at,175.05719,205.35127,222.29033,149.97543,190.20423,186.13288,-0.03121640392,0.9785948504
1552619_a_at,263.94003,420.96848,497.55414,366.36032,342.454255,431.95723,0.3349771859,1.261357462
1552620_at,94.077324,73.627495,76.32873,85.77021,83.8524095,81.04947,-0.04904948857,0.9665729403
1552621_at,468.9124,411.1536,252.54025,172.2292,440.033,212.384725,-1.050931713,0.4826563576
1552622_s_at,214.07358,227.72948,114.70716,78.30747,220.90153,96.507315,-1.194693207,0.4368793417
